CustomerID,Age,Gender,AnnualIncome,SpendingScore,ProductCategory,Membership,PurchaseFrequency,SatisfactionScore
1,56,Male,34307,30,Groceries,Gold,16,1
2,69,Male,131195,74,Home Decor,Silver,17,2
3,46,Male,44253,63,Electronics,Silver,6,2
4,32,Male,127961,53,Electronics,Gold,9,3
5,60,Male,147649,11,Electronics,Silver,19,2
6,25,Male,66136,26,Groceries,Gold,6,4
7,38,Male,104712,26,Home Decor,Platinum,9,2
8,56,Male,41020,14,Electronics,Basic,12,3
9,36,Male,67961,16,Groceries,Gold,6,2
10,40,Female,50412,39,Home Decor,Platinum,13,2
11,28,Female,116891,30,Books,Platinum,11,4
12,28,Male,59347,73,Groceries,Silver,10,4
13,41,Female,92033,13,Groceries,Gold,8,1
14,53,Female,25586,65,Electronics,Gold,9,4
15,57,Male,144423,2,Books,Gold,8,2
16,41,Male,125308,23,Electronics,Gold,19,3
17,20,Female,85383,34,Fashion,Basic,13,3
18,39,Male,138671,65,Books,Platinum,9,2
19,19,Male,115835,42,Home Decor,Silver,11,2
20,41,Male,127165,42,Home Decor,Platinum,3,5
21,61,Female,110454,69,Fashion,Gold,11,2
22,47,Female,149884,39,Groceries,Gold,11,4
23,55,Female,110195,96,Groceries,Platinum,9,5
24,19,Male,41328,74,Books,Basic,7,5
25,38,Male,38841,22,Electronics,Gold,9,3
26,50,Male,58840,88,Electronics,Basic,13,3
27,29,Male,105998,35,Electronics,Silver,13,1
28,39,Male,125510,95,Home Decor,Gold,15,4
29,61,Female,24092,44,Fashion,Basic,9,1
30,42,Male,22080,48,Electronics,Platinum,11,4
31,66,Female,34157,50,Books,Platinum,10,5
32,44,Male,64830,85,Fashion,Platinum,8,5
33,59,Female,54511,59,Groceries,Basic,10,3
34,45,Male,106804,74,Books,Platinum,10,5
35,33,Male,116226,91,Electronics,Basic,11,2
36,32,Male,56017,33,Fashion,Basic,8,5
37,64,Male,24479,16,Fashion,Gold,11,3
38,68,Female,142834,5,Groceries,Gold,9,5
39,61,Male,148901,88,Fashion,Basic,10,4
40,69,Female,60635,44,Groceries,Basic,12,4
41,20,Female,61174,91,Home Decor,Basic,8,5
42,54,Female,139641,14,Electronics,Basic,9,2
43,68,Male,131816,74,Books,Gold,8,1
44,24,Male,128940,80,Groceries,Gold,6,1
45,38,Female,117081,93,Books,Basic,9,5
46,26,Male,127179,79,Groceries,Platinum,5,2
47,56,Female,26350,86,Books,Basic,11,5
48,35,Female,111423,57,Groceries,Gold,7,3
49,21,Male,102490,70,Electronics,Platinum,13,5
50,42,Male,60806,47,Fashion,Basic,15,4
51,31,Female,72459,91,Fashion,Platinum,16,1
52,67,Female,58480,93,Fashion,Silver,8,2
53,26,Male,22476,92,Groceries,Platinum,8,5
54,43,Male,140758,19,Groceries,Basic,9,2
55,19,Male,83452,97,Groceries,Platinum,4,4
56,37,Female,99676,62,Home Decor,Basic,7,5
57,45,Female,20551,10,Home Decor,Silver,9,3
58,64,Female,65137,56,Home Decor,Basic,8,5
59,24,Male,43713,11,Home Decor,Basic,5,5
60,61,Female,44688,94,Books,Platinum,6,3
61,25,Female,147576,78,Books,Gold,12,1
62,64,Female,95275,80,Electronics,Gold,11,1
63,52,Male,146444,7,Home Decor,Platinum,8,1
64,31,Female,134062,53,Books,Silver,8,2
65,34,Male,54813,68,Groceries,Gold,11,5
66,53,Female,130442,16,Groceries,Basic,13,1
67,67,Female,26615,60,Home Decor,Platinum,13,1
68,57,Male,138024,51,Fashion,Basic,15,4
69,21,Male,130311,99,Home Decor,Silver,6,2
70,19,Male,140723,9,Home Decor,Platinum,16,2
71,23,Female,123512,49,Fashion,Gold,15,5
72,59,Male,107406,36,Fashion,Gold,11,3
73,21,Female,85751,9,Fashion,Silver,8,1
74,46,Female,83024,32,Electronics,Silver,18,2
75,35,Male,134649,57,Fashion,Platinum,12,4
76,43,Male,77613,90,Books,Gold,11,4
77,61,Male,145828,57,Electronics,Silver,9,4
78,51,Male,52637,44,Home Decor,Gold,12,2
79,27,Female,129359,19,Fashion,Basic,14,1
80,53,Female,94552,43,Books,Gold,9,4
81,31,Male,36220,68,Fashion,Platinum,8,4
82,48,Male,65627,64,Fashion,Gold,9,2
83,65,Female,115687,95,Electronics,Gold,16,4
84,32,Female,67440,13,Books,Platinum,7,1
